Concessão;AE;Nome Sublanço;Sublanço Inicio;Sublanço Fim;Pk inicio (km);Pk Inicio (m);Pk fim (km);Pk fim (m);Centro Operacional;GO;GOA
BCR;CSB;Rotunda EN14 - Var EN14;Rotunda EN14 ; Var EN14;0;0;0;400;Maia;Carlos Martins;Artur Sousa
BCR;CSB;Var EN14 - EN309;Var EN14 ; EN309;0;400;1;830;Maia;Carlos Martins;Artur Sousa
BCR;A3;EN12  - Águas Santas (A3/A4);EN12  ; Águas Santas (A3/A4);1;30;3;130;Maia;Carlos Martins;Artur Sousa
BCR;Lig. CSB;Celeirós - Var EN14;Celeirós ; Var EN14;1;320;0;400;Maia;Carlos Martins;Artur Sousa
BCR;CSB;EN309 - EN101;EN309 ; EN101;1;830;2;890;Maia;Carlos Martins;Artur Sousa
BCR;CSB;EN101 - Circular Sul de Braga;EN101 ; Circular Sul de Braga;2;890;3;555;Maia;Carlos Martins;Artur Sousa
BCR;A3;Águas Santas (A3/A4) - Maia;Águas Santas (A3/A4) ; Maia;3;130;8;360;Maia;Carlos Martins;Artur Sousa
BCR;A3;Maia - Santo Tirso ;Maia ; Santo Tirso ;8;360;21;210;Ponte de Lima;Matilde Oliveira;Fernando Sousa
BCR;A3;Santo Tirso  - Famalicão;Santo Tirso  ; Famalicão;21;210;25;740;Ponte de Lima;Matilde Oliveira;Fernando Sousa
BCR;A3;Famalicão - Cruz;Famalicão ; Cruz;25;740;35;180;Ponte de Lima;Matilde Oliveira;Fernando Sousa
BCR;A3;Cruz - Braga Sul;Cruz ; Braga Sul;35;180;42;430;Ponte de Lima;Matilde Oliveira;Fernando Sousa
BCR;A3;Braga Sul - Braga Oeste;Braga Sul ; Braga Oeste;42;430;46;940;Ponte de Lima;Matilde Oliveira;Fernando Sousa
BCR;A3;Braga Oeste - EN201;Braga Oeste ; EN201;46;940;66;840;Ponte de Lima;Matilde Oliveira;Fernando Sousa
BCR;A3;EN201 - Ponte de Lima Sul;EN201 ; Ponte de Lima Sul;66;840;76;840;Ponte de Lima;Matilde Oliveira;Fernando Sousa
BCR;A3;Ponte de Lima Sul - Ponte de Lima Norte;Ponte de Lima Sul ; Ponte de Lima Norte;76;840;77;670;Ponte de Lima;Matilde Oliveira;Fernando Sousa
BCR;A3;Ponte de Lima Norte - EN303;Ponte de Lima Norte ; EN303;77;670;98;440;Ponte de Lima;Matilde Oliveira;Fernando Sousa
BCR;A3;EN303 - Valença;EN303 ; Valença;98;440;106;450;Ponte de Lima;Matilde Oliveira;Fernando Sousa
BCR;A4;Águas Santas (A3/A4) - Ermesinde;Águas Santas (A3/A4) ; Ermesinde;8;0;11;80;Maia;Carlos Martins;Artur Sousa
BCR;A4;Ermesinde - Valongo;Ermesinde ; Valongo;11;80;15;330;Maia;Carlos Martins;Artur Sousa
BCR;A4;Valongo - Campo;Valongo ; Campo;15;330;20;390;Maia;Carlos Martins;Artur Sousa
BCR;A4;Campo - Baltar;Campo ; Baltar;20;390;26;760;Maia;Carlos Martins;Artur Sousa
BCR;A4;Baltar - Paredes;Baltar ; Paredes;26;760;32;480;Maia;Carlos Martins;Artur Sousa
BCR;A4;Paredes - Guilhufe;Paredes ; Guilhufe;32;480;35;90;Maia;Carlos Martins;Artur Sousa
BCR;A4;Guilhufe - Penafiel;Guilhufe ; Penafiel;35;90;37;290;Maia;Carlos Martins;Artur Sousa
BCR;A4;Penafiel - Castelões (A4/IP9);Penafiel ; Castelões (A4/IP9);37;290;45;0;Maia;Carlos Martins;Artur Sousa
BCR;A4;Castelões (A4/IP9) - Amarante Poente;Castelões (A4/IP9) ; Amarante Poente;45;0;57;310;Maia;Carlos Martins;Artur Sousa
BCR;A4;Amarante Poente - Amarante Nascente;Amarante Poente ; Amarante Nascente;57;310;58;50;Maia;Carlos Martins;Artur Sousa
BCR;A4;Amarante Nascente - Geraldes;Amarante Nascente ; Geraldes;58;50;59;300;Maia;Carlos Martins;Artur Sousa
BCR;A5;Viaduto Duarte Pacheco - Cruz das Oliveiras;Viaduto Duarte Pacheco ; Cruz das Oliveiras;0;0;1;500;Carcavelos;Rute Curto;João Mesquita
BCR;A5;Cruz das Oliveiras - Monsanto;Cruz das Oliveiras ; Monsanto;1;500;2;960;Carcavelos;Rute Curto;João Mesquita
BCR;A5;Monsanto - Miraflores (A5/IC17);Monsanto ; Miraflores (A5/IC17);2;960;3;940;Carcavelos;Rute Curto;João Mesquita
BCR;A5;Miraflores (A5/IC17) - Linda-a-Velha;Miraflores (A5/IC17) ; Linda-a-Velha;3;940;5;370;Carcavelos;Rute Curto;João Mesquita
BCR;A5;Linda-a-Velha - Estádio Nacional (A5/A9);Linda;a-Velha - Estádio Nacional (A5/A9);5;370;8;630;Carcavelos;Rute Curto;João Mesquita
BCR;A5;Estádio Nacional (A5/A9) - Oeiras;Estádio Nacional (A5/A9) ; Oeiras;8;630;11;580;Carcavelos;Rute Curto;João Mesquita
BCR;A5;Oeiras - Carcavelos;Oeiras ; Carcavelos;11;580;14;960;Carcavelos;Rute Curto;João Mesquita
BCR;A5;Carcavelos - Estoril;Carcavelos ; Estoril;14;960;19;670;Carcavelos;Rute Curto;João Mesquita
BCR;A5;Estoril - Alcabideche (A5/A16);Estoril ; Alcabideche (A5/A16);19;670;22;620;Carcavelos;Rute Curto;João Mesquita
BCR;A5;Alcabideche (A5/A16) - Alvide;Alcabideche (A5/A16) ; Alvide;22;620;23;370;Carcavelos;Rute Curto;João Mesquita
BCR;A5;Alvide - Cascais;Alvide ; Cascais;23;370;25;0;Carcavelos;Rute Curto;João Mesquita
BCR;A6;A2/A6/A13 - Vendas Novas;A2/A6/A13 ; Vendas Novas;0;0;19;840;Estremoz / Salvaterra / Estremoz;Manuel Claro;Gonçalo Branco
BCR;A6;Vendas Novas - Montemor-o-Novo Poente;Vendas Novas ; Montemor-o-Novo Poente;19;840;38;520;Estremoz / Salvaterra / Estremoz;Manuel Claro;Gonçalo Branco
BCR;A6;Montemor-o-Novo Poente - Montemor-o-Novo Nascente;Montemor;o-Novo Poente - Montemor-o-Novo Nascente;38;520;43;990;Estremoz / Salvaterra / Estremoz;Manuel Claro;Gonçalo Branco
BCR;A6;Montemor-o-Novo Nascente - Évora Poente;Montemor;o-Novo Nascente - Évora Poente;43;990;59;220;Estremoz / Salvaterra / Estremoz;Manuel Claro;Gonçalo Branco
BCR;A6;Évora Poente - Évora Nascente;Évora Poente ; Évora Nascente;59;220;75;320;Estremoz / Salvaterra / Estremoz;Manuel Claro;Gonçalo Branco
BCR;A6;Évora Nascente - Estremoz;Évora Nascente ; Estremoz;75;320;105;280;Estremoz / Salvaterra / Estremoz;Manuel Claro;Gonçalo Branco
BCR;A6;Estremoz - Borba;Estremoz ; Borba;105;280;117;370;Estremoz / Salvaterra / Estremoz;Manuel Claro;Gonçalo Branco
BCR;A6;Borba - Elvas Poente;Borba ; Elvas Poente;117;370;140;290;Estremoz / Salvaterra / Estremoz;Manuel Claro;Gonçalo Branco
BCR;A6;Elvas Poente - EN246;Elvas Poente ; EN246;140;290;145;540;Estremoz / Salvaterra / Estremoz;Manuel Claro;Gonçalo Branco
BCR;A6;EN246 - Elvas Central;EN246 ; Elvas Central;145;540;148;450;Estremoz / Salvaterra / Estremoz;Manuel Claro;Gonçalo Branco
BCR;A6;Elvas Central - Elvas Nascente;Elvas Central ; Elvas Nascente;148;450;152;100;Estremoz / Salvaterra / Estremoz;Manuel Claro;Gonçalo Branco
BCR;A6;Elvas Nascente - Caia;Elvas Nascente ; Caia;152;100;157;340;Estremoz / Salvaterra / Estremoz;Manuel Claro;Gonçalo Branco
BCR;A6;Caia - Fronteira do Caia;Caia ; Fronteira do Caia;157;340;158;740;Estremoz / Salvaterra / Estremoz;Manuel Claro;Gonçalo Branco
AELO;A8;A8/A19 - Cortes;A8/A19 ; Cortes;132;92;135;28;Leiria;Pedro Tomás;Tiago Cancela
AELO;A8;Cortes - Pousos;Cortes ; Pousos;135;28;138;58;Leiria;Pedro Tomás;Tiago Cancela
AELO;A8;Pousos - Ligação à A1;Pousos ; Ligação à A1;138;58;139;368;Leiria;Pedro Tomás;Tiago Cancela
AELO;A8-1;Ligação A8-1/A1 - Ligação A8-1/VPL;Ligação A8;1/A1 - Ligação A8-1/VPL;0;0;0;884;Leiria;Pedro Tomás;Tiago Cancela
AELO;A8-1;Ligação A8-1/VPL - IC2 (EN1);Ligação A8;1/VPL - IC2 (EN1);0;884;3;20;Leiria;Pedro Tomás;Tiago Cancela
BCR;A9;Estádio Nacional - Queluz;Estádio Nacional ; Queluz;0;0;4;200;Loures;Rute Curto;João Mesquita
BCR;A9;Queluz - A9/A16;Queluz ; A9/A16;4;200;6;920;Loures;Rute Curto;João Mesquita
BCR;A9;A9/A16 - Radial da Pontinha;A9/A16 ; Radial da Pontinha;6;920;10;200;Loures;Rute Curto;João Mesquita
BCR;A9;Radial da Pontinha - Radial de Odivelas;Radial da Pontinha ; Radial de Odivelas;10;200;17;20;Loures;Rute Curto;João Mesquita
BCR;A9;Radial de Odivelas - A8/A9;Radial de Odivelas ; A8/A9;17;20;20;570;Loures;Rute Curto;João Mesquita
BCR;A9;A8/A9 - Bucelas (Zambujal);A8/A9 ; Bucelas (Zambujal);20;570;24;10;Loures;Rute Curto;João Mesquita
BCR;A9;Bucelas (Zambujal) - A9/A10;Bucelas (Zambujal) ; A9/A10;24;10;32;420;Loures;Rute Curto;João Mesquita
BCR;A9;A9/A10 - Alverca;A9/A10 ; Alverca;32;420;35;500;Loures;Rute Curto;João Mesquita
BCR;A10;A9/A10 - Arruda dos Vinhos;A9/A10 ; Arruda dos Vinhos;0;0;6;570;Carregado;Rui Beja;Vitor Costa
BCR;A10;Arruda dos Vinhos - A1/A10;Arruda dos Vinhos ; A1/A10;6;570;17;660;Carregado;Rui Beja;Vitor Costa
BCR;A10;A1/A10 - Benavente;A1/A10 ; Benavente;17;660;32;220;Carregado;Rui Beja;Vitor Costa
BCR;A10;Benavente - A10/A13;Benavente ; A10/A13;32;220;38;800;Estremoz / Salvaterra / Estremoz;Manuel Claro;Gonçalo Branco
BCR;A12;Montijo (A12/A33) - Pinhal Novo;Montijo (A12/A33) ; Pinhal Novo;0;0;9;610;Coina;Ricardo Santos;Diego Mendes
BCR;Lig. Alto Guerra;A12/LAG - Alto da Guerra;A12/LAG ; Alto da Guerra;0;0;0;800;Coina;Ricardo Santos;Diego Mendes
BCR;Lig. Alto Guerra;Alto da Guerra - EN10;Alto da Guerra ; EN10;0;800;3;200;Coina;Ricardo Santos;Diego Mendes
BCR;A12;Pinhal Novo - A2/A12;Pinhal Novo ; A2/A12;9;610;19;10;Coina;Ricardo Santos;Diego Mendes
BCR;A12;A2/A12 - Setúbal;A2/A12 ; Setúbal;19;10;24;200;Coina;Ricardo Santos;Diego Mendes
BCR;A13;A2/A6/A13 - Pegões;A2/A6/A13 ; Pegões;0;0;10;480;Estremoz / Salvaterra / Estremoz;Manuel Claro;Gonçalo Branco
BCR;A13;Pegões - Sto Estêvão;Pegões ; Sto Estêvão;10;480;29;850;Estremoz / Salvaterra / Estremoz;Manuel Claro;Gonçalo Branco
BCR;A13;Sto Estêvão - A10/A13;Sto Estêvão ; A10/A13;29;850;40;960;Estremoz / Salvaterra / Estremoz;Manuel Claro;Gonçalo Branco
BCR;A13;A10/A13 - Salvaterra de Magos;A10/A13 ; Salvaterra de Magos;40;960;53;130;Estremoz / Salvaterra / Estremoz;Manuel Claro;Gonçalo Branco
BCR;A13;Salvaterra de Magos - Almeirim (IC10);Salvaterra de Magos ; Almeirim (IC10);53;130;76;500;Estremoz / Salvaterra / Estremoz;Manuel Claro;Gonçalo Branco
BCR;A13;Almeirim (IC10) - EN118;Almeirim (IC10) ; EN118;76;500;78;880;Estremoz / Salvaterra / Estremoz;Manuel Claro;Gonçalo Branco
BCR;A14;Figueira da Foz - Vila Verde;Figueira da Foz ; Vila Verde;0;500;4;70;Mealhada/Marinha;Nuno Prada;João Teixeira
BCR;A14;Vila Verde - A14/A17;Vila Verde ; A14/A17;4;70;5;180;Mealhada/Marinha;Nuno Prada;João Teixeira
BCR;A14;A14/A17 - Santa Eulália;A14/A17 ; Santa Eulália;5;180;12;640;Mealhada/Marinha;Nuno Prada;João Teixeira
BCR;A14;Santa Eulália - Montemor-o-Velho;Santa Eulália ; Montemor-o-Velho;12;640;17;610;Mealhada/Marinha;Nuno Prada;João Teixeira
BCR;A14;Montemor-o-Velho - EN335;Montemor;o-Velho - EN335;17;610;25;650;Mealhada/Marinha;Nuno Prada;João Teixeira
BCR;A14;EN335 - Ançã;EN335 ; Ançã;25;650;35;260;Mealhada/Marinha;Nuno Prada;João Teixeira
BCR;A14;Ançã - Coimbra Norte (A1/A14);Ançã ; Coimbra Norte (A1/A14);35;260;39;690;Mealhada/Marinha;Nuno Prada;João Teixeira
BCR;A14;Coimbra Norte (A1/A14) - Zombaria;Coimbra Norte (A1/A14) ; Zombaria;39;690;40;750;Mealhada/Marinha;Nuno Prada;João Teixeira
BRISAL;A17;A8/A17 - A8/A17 N;A8/A17 ; A8/A17 N;0;0;0;900;Mealhada/Marinha;Nuno Prada;João Teixeira
BRISAL;A17;A8/A17 N - Leiria Norte;A8/A17 N ; Leiria Norte;0;900;10;308;Mealhada/Marinha;Nuno Prada;João Teixeira
BRISAL;A17;Leiria Norte - Monte Real;Leiria Norte ; Monte Real;10;308;14;676;Mealhada/Marinha;Nuno Prada;João Teixeira
BRISAL;A17;Monte Real - Monte Redondo;Monte Real ; Monte Redondo;14;676;19;957;Mealhada/Marinha;Nuno Prada;João Teixeira
BRISAL;A17;Monte Redondo - Guia;Monte Redondo ; Guia;19;957;26;569;Mealhada/Marinha;Nuno Prada;João Teixeira
BRISAL;A17;Guia - Louriçal;Guia ; Louriçal;26;569;32;190;Mealhada/Marinha;Nuno Prada;João Teixeira
BRISAL;A17;Louriçal - Marinha Ondas;Louriçal ; Marinha Ondas;32;190;38;655;Mealhada/Marinha;Nuno Prada;João Teixeira
BRISAL;A17;Marinha Ondas - A17/14 Figueira da Foz;Marinha Ondas ; A17/14 Figueira da Foz;38;655;54;913;Mealhada/Marinha;Nuno Prada;João Teixeira
